Address,Community,STR-legal,Side,Beds,Baths,Price,Est Annual Airbnb,Monthly Cash Flow,Cash-on-Cash,Cap Rate,Clears Floor,Miles to Disney,Pool,Listing Link,First Seen,Latitude,Longitude,Target Buy Price
"1320 Lava Tree Dr, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,499900,64432,-609,-4.2%,4.5%,No,7.7,Verify,https://www.zillow.com/homes/1320-Lava-Tree-Dr-Davenport-FL-33897_rb/,,28.311391,-81.659447,"$227,374"
"3721 Pacific Ln, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,469999,59900,-689,-5.0%,4.2%,No,7.7,Verify,https://www.zillow.com/homes/3721-Pacific-Ln-Davenport-FL-33897_rb/,,28.313509,-81.660393,"$183,918"
"4063 Lana Ave, Davenport, FL 33897",Davenport,Verify HOA,US-27,6,4.5,729000,80886,-763,-3.8%,4.7%,No,7.9,Verify,https://www.zillow.com/homes/4063-Lana-Ave-Davenport-FL-33897_rb/,2026-08-09,28.317169,-81.667684,"$430,367"
"3404 Lilac Way, Davenport, FL 33897",Davenport,Verify HOA,US-27,7,5.5,720000,79274,-885,-4.5%,4.5%,No,7.9,Verify,https://www.zillow.com/homes/3404-Lilac-Way-Davenport-FL-33897_rb/,,28.311334,-81.663633,"$400,726"
"127 Jetty Way, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,549900,64432,-904,-5.7%,4.0%,No,7.8,Verify,https://www.zillow.com/homes/127-Jetty-Way-Davenport-FL-33897_rb/,,28.311179,-81.660334,"$227,374"
"3783 Lana Ave, Davenport, FL 33897",Davenport,Verify HOA,US-27,7,5.5,695000,75887,-946,-4.9%,4.4%,No,7.6,Verify,https://www.zillow.com/homes/3783-Lana-Ave-Davenport-FL-33897_rb/,2026-08-12,28.316782,-81.661798,"$365,501"
"4450 Kaipo Rd, Davenport, FL 33897",Davenport,Verify HOA,US-27,6,4.5,596000,66025,-972,-5.8%,4.0%,No,7.9,Verify,https://www.zillow.com/homes/4450-Kaipo-Rd-Davenport-FL-33897_rb/,,28.315087,-81.666336,"$262,066"
"270 Captiva Dr, Davenport, FL 33896",Davenport,Verify HOA,SR-429,5,4.5,415000,45481,-1001,-7.9%,3.1%,No,10.4,Verify,https://www.zillow.com/homes/270-Captiva-Dr-Davenport-FL-33896_rb/,,28.24717,-81.631664,"$76,208"
"4294 Lana Ave, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,549000,60708,-1006,-6.4%,3.8%,No,7.7,Verify,https://www.zillow.com/homes/4294-Lana-Ave-Davenport-FL-33897_rb/,2026-08-09,28.316393,-81.663515,"$209,336"
"2201 Lelani Cir, Davenport, FL 33897",Davenport,Verify HOA,US-27,6,4.5,619900,66026,-1043,-6.0%,4.0%,No,7.5,Verify,https://www.zillow.com/homes/2201-Lelani-Cir-Davenport-FL-33897_rb/,2026-08-09,28.316738,-81.659901,"$273,927"
"4358 Lana Ave, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,540000,60708,-1054,-6.8%,3.6%,No,7.6,Verify,https://www.zillow.com/homes/4358-Lana-Ave-Davenport-FL-33897_rb/,,28.316398,-81.662193,"$192,237"
"4106 Lana Ave, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,610000,67775,-1056,-6.2%,3.9%,No,7.9,Verify,https://www.zillow.com/homes/4106-Lana-Ave-Davenport-FL-33897_rb/,,28.31637,-81.667426,"$261,804"
"2251 Derwent Dr, Davenport, FL 33896",Davenport,Verify HOA,SR-429,5,4,490000,45001,-1058,-7.4%,3.4%,No,10.6,Verify,https://www.zillow.com/homes/2251-Derwent-Dr-Davenport-FL-33896_rb/,2026-08-14,28.247071,-81.638204,"$141,524"
"436 Aldridge Ln, Davenport, FL 33897",Davenport,Verify HOA,US-27,6,4.5,630000,57093,-1064,-6.0%,4.0%,No,8.4,Verify,https://www.zillow.com/homes/436-Aldridge-Ln-Davenport-FL-33897_rb/,,28.323804,-81.682453,"$280,456"
"3428 Lilac Way, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,5.5,654900,69299,-1149,-6.3%,3.9%,No,7.9,Verify,https://www.zillow.com/homes/3428-Lilac-Way-Davenport-FL-33897_rb/,,28.311365,-81.662865,"$291,052"
"2317 Lelani Cir, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4,550000,58355,-1165,-7.4%,3.4%,No,7.5,Verify,https://www.zillow.com/homes/2317-Lelani-Cir-Davenport-FL-33897_rb/,2026-08-14,28.316406,-81.660211,"$183,410"
"4103 Oaktree Dr, Davenport, FL 33837",Davenport,Verify HOA,US-27,7,6,710000,66341,-1192,-6.1%,4.0%,No,10.1,Verify,https://www.zillow.com/homes/4103-Oaktree-Dr-Davenport-FL-33837_rb/,,28.243469,-81.604691,"$338,803"
"228 Captiva Dr, Davenport, FL 33896",Davenport,Verify HOA,SR-429,4,4,429900,40892,-1368,-10.6%,2.2%,No,10.4,Verify,https://www.zillow.com/homes/228-Captiva-Dr-Davenport-FL-33896_rb/,,28.248013,-81.632244,"$28,942"
"574 Tupelo Cir, Davenport, FL 33897",Davenport,Verify HOA,US-27,5,4.5,615000,49253,-1559,-9.0%,2.9%,No,10.0,Verify,https://www.zillow.com/homes/574-Tupelo-Cir-Davenport-FL-33897_rb/,,28.277189,-81.672262,"$181,598"
"2137 Pine Oak Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,6,4,999000,87764,-1678,-6.4%,4.0%,No,11.1,Verify,https://www.zillow.com/homes/2137-Pine-Oak-Loop-Davenport-FL-33837_rb/,,28.226783,-81.596857,"$545,567"
"5425 Solterra Cir, Davenport, FL 33837",Solterra,Confirmed,US-27,6,5,849000,67626,-1878,-8.3%,3.3%,No,10.4,Verify,https://www.zillow.com/homes/5425-Solterra-Cir-Davenport-FL-33837_rb/,,28.237882,-81.601795,"$361,691"
"408 Chelsea Ave, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4,1099000,66910,-3325,-11.6%,2.4%,No,11.4,Verify,https://www.zillow.com/homes/408-Chelsea-Ave-Davenport-FL-33837_rb/,,28.219952,-81.561855,"$366,667"
